rq0_id,language,condition,ssim_vs_baseline
rq0_0010,java,gaussian_sigma_1,0.9478719887806024
rq0_0010,java,gaussian_sigma_2,0.8635301058189199
rq0_0010,java,gaussian_sigma_4,0.8121437832941528
rq0_0011,java,gaussian_sigma_1,0.9575100685777996
rq0_0011,java,gaussian_sigma_2,0.8862875413662595
rq0_0011,java,gaussian_sigma_4,0.8383559708115831
rq0_0012,java,gaussian_sigma_1,0.9540848159197061
rq0_0012,java,gaussian_sigma_2,0.8792106610522318
rq0_0012,java,gaussian_sigma_4,0.8308670783667252
rq0_0013,java,gaussian_sigma_1,0.8878152671522699
rq0_0013,java,gaussian_sigma_2,0.7079403328229694
rq0_0013,java,gaussian_sigma_4,0.5974525311903518
rq0_0014,java,gaussian_sigma_1,0.9232540839798377
rq0_0014,java,gaussian_sigma_2,0.7990957309930283
rq0_0014,java,gaussian_sigma_4,0.7195338318705815
rq0_0015,java,gaussian_sigma_1,0.9386304178026448
rq0_0015,java,gaussian_sigma_2,0.8409254206905987
rq0_0015,java,gaussian_sigma_4,0.7763299816834605
rq0_0016,java,gaussian_sigma_1,0.91774448267642
rq0_0016,java,gaussian_sigma_2,0.7867770481773118
rq0_0016,java,gaussian_sigma_4,0.7095256442018142
rq0_0017,java,gaussian_sigma_1,0.9369390886293396
rq0_0017,java,gaussian_sigma_2,0.8360414656232579
rq0_0017,java,gaussian_sigma_4,0.771778373018531
rq0_0018,java,gaussian_sigma_1,0.9207752553530986
rq0_0018,java,gaussian_sigma_2,0.7951060831323336
